"cd_tuss"|"ds_medicamento"|"ds_apresentacao"|"ds_laboratorio"|"dt_inicio_vigencia"|"dt_final_vigencia"|"dt_final_implantacao"|"registro_anvisa"
"90081129"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120 ML + COP"|"GERMED FARMACEUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1058303150022"
"90081137"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120 ML + COP"|"GERMED FARMACEUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1058303150014"
"90177754"|"ACEBROFILINA"|"5 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED"|"PRATI DONADUZZI & CIA LTDA"|"10/10/2012"|""|"8/31/2014"|"1256801590039"
"90177738"|"ACEBROFILINA"|"10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED"|"PRATI DONADUZZI & CIA LTDA"|"10/10/2012"|""|"8/31/2014"|"1256801590071"
"90237986"|"ACEBROFILINA"|"10 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP)"|"PRATI DONADUZZI & CIA LTDA"|"10/10/2012"|""|"8/31/2014"|"1256801590098"
"90238001"|"ACEBROFILINA"|"5 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP)"|"PRATI DONADUZZI & CIA LTDA"|"10/10/2012"|""|"8/31/2014"|"1256801590128"
"90261526"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PET AMB X 120 ML + COP"|"UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A"|"12/1/2013"|""|"8/31/2014"|"1049713180054"
"90206509"|"ACEBROFILINA"|"5MG/ML XPE CT FR VD AMB X 120ML + SER DOSAD"|"UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A"|"10/10/2012"|""|"8/31/2014"|"1049713180011"
"90142080"|"BRONCOLEX"|"5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML"|"LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1677301840018"
"90142071"|"BRONCOLEX"|"10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML"|"LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1677301840026"
"90245733"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1677303210011"
"90245741"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1677303210021"
"90146905"|"BRONFILIL"|"5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED"|"MABRA FARMACÊUTICA LTDA."|"10/10/2012"|""|"8/31/2014"|"1779400170021"
"90146891"|"BRONFILIL"|"10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED"|"MABRA FARMACÊUTICA LTDA."|"10/10/2012"|""|"8/31/2014"|"1779400170013"
"90417690"|"DISMUCAL"|"5 MG/ML GEL OR CT FR PLAS INC X 60ML + COL MED"|"MYLAN LABORATORIOS LTDA"|"3/1/2019"|""|"5/31/2019"|"1883000520011"
"90417704"|"DISMUCAL"|"5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED"|"MYLAN LABORATORIOS LTDA"|"3/1/2019"|""|"5/31/2019"|"1883000520021"
"90418050"|"DISMUCAL"|"5 MG/ML XPE CT FR VD AMB X 120 ML + COP"|"MYLAN LABORATORIOS LTDA"|"3/1/2019"|""|"5/31/2019"|"1883000530017"
"90418069"|"DISMUCAL"|"10 MG/ML XPE CT FR VD AMB X 120 ML + COP"|"MYLAN LABORATORIOS LTDA"|"3/1/2019"|""|"5/31/2019"|"1883000530025"
"90434650"|"ACEBROFILINA"|"5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP"|"EMS S/A"|"8/1/2019"|""|"10/31/2019"|"1023506580037"
"90434668"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP"|"EMS S/A"|"8/1/2019"|""|"10/31/2019"|"1023506580045"
"90435516"|"ACECLOFENACO"|"100 MG COM REV CT STR AL X 12"|"CIMED INDÚSTRIA DE MEDICAMENTOS LTDA"|"10/1/2019"|""|"12/31/2019"|"1438102140020"
"90051688"|"ACECLOFENACO"|"15 MG/G CREM DERM CT BG AL X 30 G"|"EMS S/A"|"10/10/2012"|""|"8/31/2014"|"1023508410031"
"90070569"|"PROFLAM"|"100 MG COM REV CT BL AL/AL X 12"|"EUROFARMA LABORATÓRIOS S.A."|"1/1/2016"|""|"3/31/2016"|"1004308170030"
"90070550"|"PROFLAM"|"15 MG/G CREM DERM CT TB AL X 30 G"|"EUROFARMA LABORATÓRIOS S.A."|"1/1/2016"|""|"3/31/2016"|"1004308170014"
"90070577"|"PROFLAM"|"100 MG COM REV CT BL AL / AL X 6"|"EUROFARMA LABORATÓRIOS S.A."|"1/1/2016"|""|"3/31/2016"|"1004308170091"
"90275489"|"ACECLOFENACO"|"100 MG COM REV CT BL AL AL X 12"|"NOVA QUIMICA FARMACÊUTICA S/A"|"1/1/2016"|""|"3/31/2016"|"1267501560032"
"90275497"|"ACECLOFENACO"|"100 MG COM REV CT BL AL AL X 24"|"NOVA QUIMICA FARMACÊUTICA S/A"|"1/1/2016"|""|"3/31/2016"|"1267501560075"
"90426380"|"ACEFLOR"|"100 MG COM REV CT BL AL AL X 6"|"NOVA QUIMICA FARMACÊUTICA S/A"|"6/1/2019"|""|"8/31/2019"|"1267502900023"
"90426398"|"ACEFLOR"|"100 MG COM REV CT BL AL AL X 12"|"NOVA QUIMICA FARMACÊUTICA S/A"|"6/1/2019"|""|"8/31/2019"|"1267502900041"
"90426401"|"ACEFLOR"|"100 MG COM REV CT BL AL AL X 16"|"NOVA QUIMICA FARMACÊUTICA S/A"|"6/1/2019"|""|"8/31/2019"|"1267502900058"
"90426410"|"ACEFLOR"|"100 MG COM REV CT BL AL AL X 24"|"NOVA QUIMICA FARMACÊUTICA S/A"|"6/1/2019"|""|"8/31/2019"|"1267502900082"
"90426428"|"ACEFLOR"|"100 MG COM REV CT BL AL PLAS OPC X 6 "|"NOVA QUIMICA FARMACÊUTICA S/A"|"6/1/2019"|""|"8/31/2019"|"1267502900015"
"90426436"|"ACEFLOR"|"100 MG COM REV CT BL AL PLAS OPC X 12"|"NOVA QUIMICA FARMACÊUTICA S/A"|"6/1/2019"|""|"8/31/2019"|"1267502900031"
"90426444"|"ACEFLOR"|"100 MG COM REV CT BL AL PLAS OPC X 16"|"NOVA QUIMICA FARMACÊUTICA S/A"|"6/1/2019"|""|"8/31/2019"|"1267502900066"
"90426452"|"ACEFLOR"|"100 MG COM REV CT BL AL PLAS OPC X 24"|"NOVA QUIMICA FARMACÊUTICA S/A"|"6/1/2019"|""|"8/31/2019"|"1267502900074"
"90163516"|"ACECLOFENACO"|"100 MG COM REV CT BL AL/AL X 12"|"MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA"|"10/10/2012"|""|"8/31/2014"|"1181900780019"
"90163770"|"CECOFENE"|"100 MG COM REV CT BL AL/AL X 12"|"MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA"|"10/10/2012"|""|"8/31/2014"|"1181900870018"
"90235215"|"ACECLOFENACO"|"100 MG COM REV CT BL AL PLAS OPC X 24"|"GERMED FARMACEUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1058307420075"
"90235223"|"ACECLOFENACO"|"100 MG COM REV CT BL AL PLAS OPC X 12"|"GERMED FARMACEUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1058307420032"
"90264967"|"ACECLOFENACO"|"100 MG COM REV CT BL AL AL X 12"|"GERMED FARMACEUTICA LTDA"|"12/1/2013"|""|"8/31/2014"|"1058307420040"
"90264975"|"ACECLOFENACO"|"100 MG COM REV CT BL AL AL X 24"|"GERMED FARMACEUTICA LTDA"|"12/1/2013"|""|"8/31/2014"|"1058307420083"
"90081145"|"ACECLOFENACO"|"15 MG/G CREM DERM CT BG AL X 30 G "|"GERMED FARMACEUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1058305410031"
"90185870"|"ACECLOFENACO"|"100 MG COM REV CT STR AL X 12"|"RANBAXY FARMACÊUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1235201000025"
"90185889"|"ACECLOFENACO"|"100 MG COM REV CT 2 STR AL X 12"|"RANBAXY FARMACÊUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1235201000033"
"90259580"|"CECLOFLAN"|"100 MG COM REV CT ENV AL X 12 "|"VITAMEDIC INDUSTRIA FARMACEUTICA LTDA"|"6/1/2016"|""|"8/31/2016"|"1039200560043"
"90324293"|"ACECLOFENACO"|"100 MG COM REV CT ENV AL X 12"|"VITAMEDIC INDUSTRIA FARMACEUTICA LTDA"|"6/1/2016"|""|"8/31/2016"|"1039201720011"
"90324307"|"ACECLOFENACO"|"100 MG COM REV CT ENV AL X 16"|"VITAMEDIC INDUSTRIA FARMACEUTICA LTDA"|"6/1/2016"|""|"8/31/2016"|"1039201720028"
"90324315"|"ACECLOFENACO"|"100 MG COM REV CT ENV AL X 24"|"VITAMEDIC INDUSTRIA FARMACEUTICA LTDA"|"6/1/2016"|""|"8/31/2016"|"1039201720036"
"90324323"|"ACECLOFENACO"|"100 MG COM REV CT ENV AL X 480 (EMB HOSP)"|"VITAMEDIC INDUSTRIA FARMACEUTICA LTDA"|"6/1/2016"|""|"8/31/2016"|"1039201720044"
"90414900"|"ACECLOFENACO"|"100 MG COM CT BL AL/AL X 12"|"ZYDUS NIKKHO FARMACÊUTICA LTDA"|"3/1/2019"|""|"5/31/2019"|"1565100640011"
"90283856"|"ACECLOFENACO"|"100 MG COM REV CT BL AL AL X 12"|"LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA"|"12/1/2013"|""|"8/31/2014"|"1677303570034"
"90283708"|"ACECLO-GRAN"|"100 MG COM REV CT BL AL AL X 12"|"LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA"|"12/1/2013"|""|"8/31/2014"|"1677300650101"
"90250044"|"ACECLOFENACO"|"100 MG COM REV CT BL AL PLAS OPC X 12"|"EMS S/A"|"10/10/2012"|""|"8/31/2014"|"1023510530030"
"90256476"|"ACECLOFENACO"|"100 MG COM REV CT BL AL AL X 12"|"EMS S/A"|"12/1/2013"|""|"8/31/2014"|"1023510530049"
"90256352"|"FEBUPEN"|"100 MG COM REV CT BL AL AL X 12"|"EMS S/A"|"12/1/2013"|""|"8/31/2014"|"1023509200103"
"90246691"|"ADVANTAN"|"1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML"|"BAYER S.A."|"10/10/2012"|""|"8/31/2014"|"1705600850091"
"90246705"|"ADVANTAN"|"1 MG/G EMU DERM CT BG AL X 20 G"|"BAYER S.A."|"3/1/2019"|""|"8/31/2014"|"1705600850154"
"90247078"|"ADVANTAN"|"1 MG/G CREM DERM CT BG AL X 15 G"|"BAYER S.A."|"10/10/2012"|""|"8/31/2014"|"1705600850014"
"90398645"|"ACETATO DE ABIRATERONA"|"250 MG COM REV CT FR PLAS OPC X 30"|"DR. REDDYS FARMACÊUTICA DO BRASIL LTDA"|"3/1/2019"|""|"5/31/2019"|"1514300280014"
"90398653"|"ACETATO DE ABIRATERONA"|"250 MG COM REV CT FR PLAS OPC X 60"|"DR. REDDYS FARMACÊUTICA DO BRASIL LTDA"|"3/1/2019"|""|"5/31/2019"|"1514300280022"
"90398661"|"ACETATO DE ABIRATERONA"|"250 MG COM REV CT FR PLAS OPC X 120"|"DR. REDDYS FARMACÊUTICA DO BRASIL LTDA"|"3/1/2019"|""|"5/31/2019"|"1514300280030"
"90398696"|"BALEFIO"|"250 MG COM REV CT FR PLAS OPC X 120"|"DR. REDDYS FARMACÊUTICA DO BRASIL LTDA"|"3/1/2019"|""|"5/31/2019"|"1514300340033"
